Branch_ID	Branch_Label	Branch_Dir	Model	Parameter	Value
0.6	5组学单模型入选biomarkers联合	run_model_0.6_joint_selected_biomarkers_step2	naive_bayes	laplace	4.86717568011954
0.6	5组学单模型入选biomarkers联合	run_model_0.6_joint_selected_biomarkers_step2	kknn	k	8
0.6	5组学单模型入选biomarkers联合	run_model_0.6_joint_selected_biomarkers_step2	kknn	distance	1.57665317039937
0.6	5组学单模型入选biomarkers联合	run_model_0.6_joint_selected_biomarkers_step2	kknn	kernel	triangular
0.6	5组学单模型入选biomarkers联合	run_model_0.6_joint_selected_biomarkers_step2	rpart	xval	0
0.6	5组学单模型入选biomarkers联合	run_model_0.6_joint_selected_biomarkers_step2	rpart	cp	0.0166871022044447
0.6	5组学单模型入选biomarkers联合	run_model_0.6_joint_selected_biomarkers_step2	rpart	maxdepth	12
0.6	5组学单模型入选biomarkers联合	run_model_0.6_joint_selected_biomarkers_step2	rpart	minbucket	2
0.6	5组学单模型入选biomarkers联合	run_model_0.6_joint_selected_biomarkers_step2	adaboost	I	179
0.6	5组学单模型入选biomarkers联合	run_model_0.6_joint_selected_biomarkers_step2	nnet	MaxNWts	5000
0.6	5组学单模型入选biomarkers联合	run_model_0.6_joint_selected_biomarkers_step2	nnet	size	11
0.6	5组学单模型入选biomarkers联合	run_model_0.6_joint_selected_biomarkers_step2	nnet	decay	0.000573764840707029
0.6	5组学单模型入选biomarkers联合	run_model_0.6_joint_selected_biomarkers_step2	nnet	maxit	425
